Category,Title,Description,Estimated Effort,Priority,Priority Justification,File(s)/Location
Bug Fix,Login has no success/failure handling,"Login doesn't navigate or show feedback on success/failure - UserCredential result is discarded",1-2 hrs,High,Users can 'sign in' and see nothing happen; makes auth unusable,lib/features/account/presentation/loginpage.dart
Bug Fix,No route guarding,"Every tab is reachable without being logged in - no redirect/auth check in the router",2-4 hrs,High,Defeats the purpose of having auth at all,"lib/core/router.dart, lib/core/mainscreen.dart"
Bug Fix,Import path casing mismatch,"Imports reference 'Services/' but the actual folder is 'services/'",15 min,High,Compiles on macOS's case-insensitive filesystem but will hard-fail on Linux CI/most build servers,"lib/core/main.dart, lib/features/map/presentation/searchpage.dart"
Bug Fix,macOS uses a different Firebase project,"macOS Firebase project (goglyder) is a different project than Android/iOS/web (trydentlabs-goglyder)",1 hr,High,Desktop testing writes to a completely separate database; data silently won't match mobile,"firebase.json, lib/services/firebase_options.dart"
Bug Fix,Login is a nav tab instead of a gate,"Login is a bottom-nav destination instead of an entry gate, so users can navigate past it",30 min,Medium,Confusing UX; users can access the app without ever logging in,lib/core/mainscreen.dart
Bug Fix,firebase.json output path mismatch,"firebase.json's dart output path (lib/firebase_options.dart) doesn't match actual file location (lib/services/firebase_options.dart)",15 min,Medium,Next 'flutterfire configure' run will regenerate the file in the wrong place and break imports,firebase.json
Bug Fix,print() used for error logging,"print() used for error logging instead of a real logger/error handler",1 hr,Low,Works today but gives no error visibility in production builds,"lib/features/account/scripts/auth.dart, lib/services/gmaps.dart"
Partial Implementation,Firestore never read or written,"Firestore is initialized but never actually read from or written to anywhere in the app",1-2 days (foundational),High,Nothing in the app persists; this blocks every other feature,lib/services/firebase.dart
Partial Implementation,Calendar is fully hardcoded,"Calendar shows a hardcoded event list; the 'Carpool setup' button is a stub",2-3 days,High,This is the headline pitch (calendar integration); currently 0% real,lib/features/calendar/presentation/calendar.dart
Partial Implementation,Map has one hardcoded marker,"Map has one hardcoded school marker; 'Get Directions' and 'Share Location' are snackbar stubs",3-4 days,High,This is where carpool matching would actually surface on a map,"lib/services/gmaps.dart, lib/features/map/presentation/searchpage.dart"
Partial Implementation,Auth lacks verification/validation,"Auth service works against Firebase but sign-up has no email verification, password rules, or duplicate-account UX",1 day,Medium,Functional but fragile - commit history literally warns not to spam sign-up because it may crash Firebase,lib/features/account/scripts/auth.dart
Partial Implementation,Community page is fully hardcoded,"Hardcoded groups/posts, 'Create post' stub, likes/comments don't persist",2-3 days,Medium,Core to the 'community' pillar of the product pitch,lib/features/community/presentation/community.dart
Partial Implementation,Messages page has no backend,"955 lines of polished UI, fully in-memory, no real-time backend",3-4 days,Medium,Largest single file in the app; biggest gap between UI polish and actual function,lib/features/messages/presentation/messages.dart
Partial Implementation,Analytics dashboard uses fake data,"Renders hardcoded metrics (attendance, carpools/day, CO2 saved) instead of real data",2 days (after trip data exists),Medium,This is the 'prove ROI to the school' screen; buy-in depends on this being real eventually,lib/features/analytics/presentation/analytics.dart
Partial Implementation,Homepage is static demo content,"Quick actions and 'upcoming' section don't reflect any real state",1 day,Low,Cosmetic until the features it links to are real,lib/features/home/presentation/homepage.dart
Feature Request,Core data models + Firestore schema,"Define AppUser, School, Event, CarpoolTrip, Message, Post models and Firestore schema",2-3 days,High,Everything else depends on this existing first,new: lib/models/
Feature Request,School-scoping / multi-tenancy,"Every user and record belongs to a school; all data namespaced accordingly",2-3 days,High,This is the sellable unit - without it there's one shared app instead of a per-school product,touches all Firestore reads/writes
Feature Request,Carpool posting & matching engine,"Parents post a trip, others request a seat, requests get accepted/declined",1-2 weeks,High,The actual reason this app exists; currently doesn't exist in any form,new feature module
Feature Request,Safety layer: verification + emergency contacts,"Driver identity verification, emergency contact info, ride check-in/check-out",1-2 weeks,High,This is a kids' carpooling app sold to schools; no school will buy without a liability/safety story,new feature module
Feature Request,Role-based accounts,"Parent, staff, and school-admin roles with different permissions",3-5 days,High,Needed before a school admin can manage anything; prerequisite for school-scoping,auth + Firestore rules
Feature Request,School admin dashboard,"Admin surface to manage events, invite families, view usage",1-2 weeks,High,This is literally the product being pitched to the school as the buyer, and it doesn't exist yet,new: web or in-app admin surface
Feature Request,External calendar integration,"Import school events from Google Calendar / iCal",3-5 days,Medium,Explicitly promised in the product pitch; currently just a hardcoded list,lib/features/calendar/presentation/calendar.dart
Feature Request,Real-time messaging via Firestore,"Replace in-memory chat with Firestore streams",3-5 days,Medium,Depends on data models existing first,lib/features/messages/presentation/messages.dart
Feature Request,Push notifications,"Notify on ride requests, new messages, event reminders",2-3 days,Medium,Needed for the app to be useful outside active foreground use,add firebase_messaging
Feature Request,Driver ratings/trust system,"Post-trip rating system for drivers",2-3 days,Medium,Reinforces the safety story; lower urgency than verification itself,new feature
Feature Request,Real carbon savings calculator,"Feed analytics from real trip distances using Geolocator instead of demo numbers",2-3 days,Medium,Ties the 'carbon efficiency' pitch to real numbers instead of fl_chart demo data,lib/features/analytics/presentation/analytics.dart
Feature Request,Proximity-based carpool suggestions,"Suggest nearby families / similar schedules for matching",1 week,Medium,Strong differentiator once basic matching works; not needed for v1,map + matching module
